Marker.Name,Alternate1,Alternate2,Alternate3,Alternate4,Alternate5,Alternate6,Alternate7,Alternate8,Alternate9,Alternate10
4-IBB,4-1BB,41BB,4.1BB,4_1BB,CD137,TNFRSF9,,,,
AnnV,Annexin,AnnV,AnnexinV,,,,,,,
Areg,Areg,A-reg,A.reg,Amphiregulin,,,,,,
ACSA2,ACSA2,ASCA2,ACSA-2,ASCA-2,ACSA2,ASCA2,ACSA.2,,,
Autofluorescence,Autofluorescence,AF,AutoF,,,,,,,
BAFFR,BAFFR,BAFF-R,BAFF.R,CD268,TNFRSF13C,BR3,,,,
BATF,BATF,Batf,,,,,,,,
Bcl6,Bcl6,Bcl-6,Bcl.6,,,,,,,
BDNF,BDNF,,,,,,,,,
BFP,BFP,Blue Fluorescent Protein,,,,,,,,
Blimp1,Blimp1,Blimp-1,Prdm1,,,,,,,
BP1,BP1,BP-1,BP.1,Ly51,Ly-51,Ly.51,,,,
BTLA,BTLA,CD272,BTLA (CD272),,,,,,,
CADM1,CADM1,Cell adhesion molecule 1,,,,,,,,
CCR1,CCR1,CD191,CCR1 (CD191),,,,,,,
CCR2,CCR2,CD192,CCR2 (CD192),,,,,,,
CCR3,CCR3,CD193,CCR3 (CD193),,,,,,,
CCR4,CCR4,CD194,CCR4 (CD194),,,,,,,
CCR5,CCR5,CD195,CCR5 (CD195),,,,,,,
CCR6,CCR6,CD196,CCR6 (CD196),,,,,,,
CCR7,CCR7,CD197,CCR7 (CD197),,,,,,,
CCR8,CCR8,CD198,CCR8 (CD198),,,,,,,
CCR9,CCR9,CD199,CCR9 (CD199),,,,,,,
CD10,CD10,,,,,,,,,
CD101,CD101,,,,,,,,,
CD103,CD103,,,,,,,,,
CD107a,CD107a,LAMP.1,CD107a (LAMP.1),,,,,,,
CD11a,CD11a,LFA.1,LFA1,LFA-1,,,,,,
CD11b,CD11b,Itgam,,,,,,,,
CD11c,CD11c,Itgax,,,,,,,,
CD122,CD122,IL-2R-beta,CD122 (IL-2R-beta),,,,,,,
CD123,CD123,IL3Ra,CD123 (IL3Ra),,,,,,,
CD132,CD132,gc,Common Gamma Chain,,,,,,,
CD134,CD134,TNFRSF4,OX40,OX-40,OX.40,,,,,
CD135,CD135,FLT.3,FLT-3,FLT3,FLK2,,,,,
CD138,CD138,,,,,,,,,
CD14,CD14,,,,,,,,,
CD141,CD141,BDCA-3,Thrombomodulin,BDCA3,BDCA_3,BDCA.3,,,,
CD146,CD146,MCAM,CD146 (MCAM),,,,,,,
CD15,CD15,Le X,Lewis X,,,,,,,
CD150,CD150,SLAM1,SLAMF1,,,,,,,
CD16,CD16,FcgRIII,CD16 (FcgRIII),,,,,,,
CD161,CD161,,,,,,,,,
CD163,CD163,,,,,,,,,
CD169,CD169,,,,,,,,,
CD172a,CD172a,SIRP1alpha,SIRP1a,,,,,,,
CD19,CD19,,,,,,,,,
CD1c,CD1c,,,,,,,,,
CD1d,CD1d,,,,,,,,,
CD2,CD2,,,,,,,,,
CD20,CD20,,,,,,,,,
CD200R,CD200R,Cd200r1,CD200R-1,MO2R1,CD200 receptor 1,Orexin receptor 2,Ox2r,Mox2r,,
CD205,CD205,DEC.205,DEC-205,DEC205,DEC 205,,,,,
CD206,CD206,Mannose Receptor,MMR,,,,,,,
CD21,CD21,,,,,,,,,
CD226,CD226,DNAM1,,,,,,,,
CD24,CD24,CD24,,,,,,,,
CD25,CD25,IL2Ralpha,CD25 (IL2Ralpha),,,,,,,
CD27,CD27,,,,,,,,,
CD272,CD272,BTLA,CD272 (BTLA),,,,,,,
CD28,CD28,,,,,,,,,
CD3,CD3,,,,,,,,,
CD301,CD301,CLEC10A,,,,,,,,
CD303,CD303,,,,,,,,,
CD304,CD304,BDCA2,BDCA-2,,,,,,,
CD31,CD31,PECAM_1,PECAM.1,PECAM-1,PECAM1,PECAM,,,,
CD32,CD32,FcgRII,FcgRIIb,FcgRIIa,,,,,,
CD34,CD34,,,,,,,,,
CD38,CD38,,,,,,,,,
CD39,CD39,,,,,,,,,
CD4,CD4,,,,,,,,,
CD40,CD40,,,,,,,,,
CD40L,CD40L,CD154,CD40L (CD154),,,,,,,
CD44,CD44,,,,,,,,,
CD45,CD45,,,,,,,,,
CD45RA,CD45RA,,,,,,,,,
CD45RB,CD45RB,,,,,,,,,
CD45RO,CD45RO,,,,,,,,,
CD48,CD48,,,,,,,,,
CD49a,CD49a,ITGA1,,,,,,,,
CD49b,CD49b,Integrin alpha-2,Itga2,Integrin a2,Integrin alpha-2,,,,,
CD5,CD5,,,,,,,,,
CD56,CD56,NCAM,,,,,,,,
CD57,CD57,L2,HNK-1,LEU-7,,,,,,
CD62L,CD62L,L-Selectin,L-selectin,L Selectin,,,,,,
CD64,CD64,FcgRI,CD64 (FcgRI),,,,,,,
CD68,CD68,,,,,,,,,
CD69,CD69,,,,,,,,,
CD71,CD71,,,,,,,,,
CD72,CD72,,,,,,,,,
CD73,CD73,,,,,,,,,
CD8,CD8,CD8alpha,CD8a,Cd8,Cd8a,,,,,
CD80,CD80,B7.1,B7_1,B7-1,,,,,,
CD83,CD83,,,,,,,,,
CD86,CD86,B7.2,B7_2,B7-2,,,,,,
CD90,CD90,Thy1,CD90 (Thy1),,,,,,,
CD94,CD94,KLRD1,CD94 (KLRD1),,,,,,,
CD95,CD95,Fas,CD95 (Fas),,,,,,,
cKit,cKit,CD117,c-Kit,c.Kit,,,,,,
CLEC12A,CLEC12A,Clec12a,CLEC12A (Clec12a),,,,,,,
CTLA4,CTLA4,CD152,CTLA-4,CTLA.4,CTLA_4,,,,,
CX3CR1,CX3CR1,Fractalkine Receptor,CX3CR1 (Fractalkine Receptor),,,,,,,
CXCR1,CXCR1,CD181,CXCR1 (CD181),,,,,,,
CXCR2,CXCR2,CD182,CXCR2 (CD182),,,,,,,
CXCR3,CXCR3,CD183,CXCR3 (CD183),,,,,,,
CXCR4,CXCR4,CD184,CXCR4 (CD184),,,,,,,
CXCR5,CD185,CD185,CXCR5 (CD185),,,,,,,
CXCR6,CD186,CD186,CXCR6 (CD186),,,,,,,
CXCR7,CXCR7,ACKR3,CXCR7 (ACKR3),,,,,,,
CXCR8,CXCR8,CD188,CXCR8 (CD188),,,,,,,
E-Cadherin,E-Cadherin,CD324,Cadherin-1,Cadherin1,Cadherin.1,CDH1,,,,
Eomes,Eomes,,,,,,,,,
EOS,EOS,,,,,,,,,
EpCAM,EpCAM,CD326,EpCAM (CD326),,,,,,,
FasL,FasL,CD178,FasL (CD178),,,,,,,
FcERIa,FcERIa,FcER1,FceR1a,FceRIa,FceRIalpha,FceR1,FceRI,FceR1alpha,FcER1alpha,FcER1a
FcRL5,FcRL5,Fcrl5,,,,,,,,
FOLR2,FOLR2,FolR2,Folr2,,,,,,,
FoxP3,FoxP3,Fox-P3,Foxp3,,,,,,,
FR2,FR2,Folate Receptor 2,Fr2,,,,,,,
GARP,GARP,LRRC32,Garp,,,,,,,
Gata3,Gata3,GATA-3,Gata3,,,,,,,
GFAP,GFAP,GFAP,Gfap,,,,,,,
GFP,GFP,Green Fluorescent Protein,Gfp,,,,,,,
GITR,GITR,GITR,Gitr,,,,,,,
GMCSF,GMCSF,GM_CSF,Gmcsf,,,,,,,
GPR183,GPR183,GPR183,Gpr183,,,,,,,
GranzymeB,GranzymeB,Granzyme-B,Granzymeb,Granzyme_B,,,,,,
HA,HA,HA tag,Ha,HA Tag,HA.Tag,,,,,
Helios,Helios,Ikzf2,IKZF2,,,,,,,
HLADR,HLADR,HLA.DR,Hladr,HLA_DR,HLA-DR,,,,,
ICOS,ICOS,ICOS (CD278),Icos,CD278,,,,,,
