marker,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9
ACSA-2,ASCA2,ACSA-2,ASCA-2,ACSA2,ASCA2,ACSA.2,,,
Activin A,INHBA,Activin-A,,,,,,,
AF,AutoFluorescence,Autofluorescence,AutoF,AutoFluor,,,,,
Aiolos,IKZF3,Aiolos zinc finger protein 3,,,,,,,
ALK,Anaplastic lymphoma kinase,,,,,,,,
alpha-SMA,ACTA2,Smooth muscle actin,aSMA,a-SMA,Smooth muscle alpha-actin,,,,
Amphiregulin,Areg,AREG,EGF-like ligand,,,,,,
Annexin A1,AnxA1,ANXA1,Lipocortin I,,,,,,
Annexin A2,AnxA2,ANXA2,Lipocortin II,,,,,,
Annexin V,Annexin,AnnV,AnnexinV,,,,,,
AP-1,Activator protein 1,c-Fos/c-Jun,,,,,,,
Areg,A-reg,A.reg,Amphiregulin,,,,,,
AU1,AU1 tag,AU1-tag,AU1_tag,,,,,,
AU5,AU5 tag,AU5-tag,AU5_tag,,,,,,
AXL,AXL receptor tyrosine kinase,UFO,,,,,,,
B220,CD45R,,,,,,,,
BAFFR,BAFF-R,BAFF.R,CD268,TNFRSF13C,BR3,,,,
BATF,Batf,,,,,,,,
Bax,BAX,Bcl2-associated X protein,,,,,,,
Bcl-2,BCL2,Bcl2,,,,,,,
Bcl-6,Bcl-6,Bcl.6,Bcl6,BCL6,,,,,
Bcl-xL,BCL2L1,BclxL,BCL-xL,,,,,,
BDNF,,,,,,,,,
BFP,Blue Fluorescent Protein,,,,,,,,
Blimp-1,Blimp1,Prdm1,,,,,,,
BMP4,Bone morphogenetic protein 4,Bmp4,,,,,,,
BP1,BP-1,BP.1,Ly51,Ly-51,Ly.51,,,,
BTLA,CD272,BTLA (CD272),,,,,,,
C,C tag,C-tag,C_tag,,,,,,
c-Myc,cMyc,MYC,c-MYC,,,,,,
C/EBPa,CEBPA,CCAAT enhancer binding protein alpha,CEBPalpha,,,,,,
C/EBPb,CEBPB,CCAAT enhancer binding protein beta,CEBPbeta,,,,,,
CADM1,Cell adhesion molecule 1,,,,,,,,
Calreticulin,CRT,Calregulin,,,,,,,
CAR-T,CAR.T,CAR T,,,,,,,
Casitas b-lineage lymphoma,CBL,c-Cbl,Cbl proto-oncogene,,,,,,
Caspase-3,Casp3,Cleaved caspase-3,CASP3,Cleaved-Casp3,,,,,
Caspase-8,Casp8,Cleaved caspase-8,CASP8,Cleaved-Casp8,,,,,
CCL1,,,,,,,,,
CCL11,Eotaxin,,,,,,,,
CCL13,MCP-4,,,,,,,,
CCL14,,,,,,,,,
CCL15,,,,,,,,,
CCL16,,,,,,,,,
CCL17,TARC,,,,,,,,
CCL18,,,,,,,,,
CCL19,MIP-3beta,Macrophage inflammatory protein 3 beta,ELC,,,,,,
CCL2,MCP-1,Monocyte chemoattractant protein-1,JE,,,,,,
CCL20,MIP-3alpha,Macrophage inflammatory protein 3 alpha,LARC,,,,,,
CCL21,6Ckine,SLC,Secondary lymphoid-organ chemokine,,,,,,
CCL22,MDC,Macrophage-derived chemokine,,,,,,,
CCL23,,,,,,,,,
CCL24,Eotaxin-2,,,,,,,,
CCL25,TECK,Thymus-expressed chemokine,,,,,,,
CCL26,Eotaxin-3,,,,,,,,
CCL27,CTACK,Cutaneous T-cell attracting chemokine,,,,,,,
CCL3,MIP-1alpha,Macrophage inflammatory protein 1 alpha,,,,,,,
CCL4,MIP-1beta,Macrophage inflammatory protein 1 beta,,,,,,,
CCL5,RANTES,CCL-5,,,,,,,
CCL7,MCP-3,Monocyte chemoattractant protein 3,,,,,,,
CCL8,,,,,,,,,
CCR1,CD191,CCR1 (CD191),,,,,,,
CCR10,,,,,,,,,
CCR2,CD192,CCR2 (CD192),,,,,,,
CCR3,CD193,CCR3 (CD193),,,,,,,
CCR4,CD194,CCR4 (CD194),,,,,,,
CCR5,CD195,CCR5 (CD195),,,,,,,
CCR6,CD196,CCR6 (CD196),,,,,,,
CCR7,CD197,CCR7 (CD197),,,,,,,
CCR8,CD198,CCR8 (CD198),,,,,,,
CCR9,CD199,CCR9 (CD199),,,,,,,
CD10,,,,,,,,,
CD100,SEMA4D,Semaphorin 4D,,,,,,,
CD101,,,,,,,,,
CD102,ICAM-2,ICAM2,,,,,,,
CD103,,,,,,,,,
CD104,Integrin-beta4,Itgb4,Beta4 integrin,,,,,,
CD105,Endoglin,,,,,,,,
CD106,VCAM-1,VCAM1,Vascular cell adhesion molecule 1,,,,,,
CD107a,LAMP.1,CD107a (LAMP.1),,,,,,,
CD107b,LAMP-2,LAMP2,Lysosomal-associated membrane protein 2,,,,,,
CD108,,,,,,,,,
CD109,,,,,,,,,
CD110,MPL,Thrombopoietin receptor,c-MPL,,,,,,
